zl,sigma_crit_inv
0.299,0.0002490708303110647
0.3,0.0002488668651374828
0.301,0.00024865969288560315
0.302,0.0002484493404539786
0.303,0.00024823583462110923
0.304,0.00024801920204569293
0.305,0.00024779946926687817
0.306,0.0002475766627045161
0.307,0.0002473508086594128
0.308,0.000247121933313584
0.309,0.0002468900627305089
0.31,0.00024665522285538495
0.311,0.0002464174395153832
0.312,0.0002461767384199047
0.313,0.0002459331451608373
0.314,0.0002456866852128117
0.315,0.00024543738393346053
0.316,0.0002451852665636765
0.317,0.0002449303582278705
0.318,0.00024467268393423214
0.319,0.00024441226857498897
0.32,0.00024414913692666747
0.321,0.0002438833136503541
0.322,0.00024361482329195722
0.323,0.0002433436902824685
0.324,0.00024306993893822678
0.325,0.00024279359346118053
0.326,0.00024251467793915166
0.327,0.0002422332163461002
0.328,0.00024194923254238857
0.329,0.00024166275027504786
0.33,0.00024137379317804144
0.331,0.0002410823847725339
0.332,0.0002407885484671563
0.333,0.00024049230755827355
0.334,0.00024019368523025216
0.335,0.0002398927045557286
0.336,0.00023958938849587746
0.337,0.00023928375990068138
0.338,0.00023897584150919956
0.339,0.00023866565594983825
0.34,0.00023835322574062133
0.341,0.0002380385732894607
0.342,0.0002377217208944281
0.343,0.00023740269074402586
0.344,0.0002370815049174603
0.345,0.00023675818538491318
0.346,0.0002364327540078149
0.347,0.0002361052325391179
0.348,0.00023577564262357065
0.349,0.0002354440057979913
0.35,0.00023511034349154222
0.351,0.00023477467702600482
0.352,0.00023443702761605516
0.353,0.000234097416369539
0.354,0.0002337558642877484
0.355,0.00023341239226569685
0.356,0.00023306702109239717
0.357,0.000232719771451138
0.358,0.000232370663919761
0.359,0.00023201971897093842
0.36,0.0002316669569724514
0.361,0.0002313123981874682
0.362,0.0002309560627748226
0.363,0.00023059797078929262
0.364,0.00023023814218188038
0.365,0.0002298765968000911
0.366,0.00022951335438821323
0.367,0.00022914843458759772
0.368,0.00022878185693693984
0.369,0.0002284136408725584
0.37,0.00022804380572867728
0.371,0.00022767237073770643
0.372,0.00022729935503052398
0.373,0.00022692477763675649
0.374,0.00022654865748506197
0.375,0.00022617101340341184
0.376,0.00022579186411937326
0.377,0.0002254112282603914
0.378,0.00022502912435407298
0.379,0.00022464557082846809
0.38,0.00022426058601235523
0.381,0.00022387418813552335
0.382,0.00022348639532905563
0.383,0.00022309722562561423
0.384,0.00022270669695972345
0.385,0.00022231482716805466
0.386,0.00022192163398970948
0.387,0.00022152713506650614
0.388,0.00022113134794326297
0.389,0.0002207342900680835
0.39,0.0002203359787926417
0.391,0.00021993643137246705
0.392,0.0002195356649672304
0.393,0.00021913369664102855
0.394,0.00021873054336267055
0.395,0.00021832622200596322
0.396,0.00021792074934999726
0.397,0.00021751414207943294
0.398,0.00021710641678478616
0.399,0.00021669758996271495
0.4,0.0002162876780163057
0.401,0.0002158766972553587
0.402,0.0002154646638966775
0.403,0.00021505159406435135
0.404,0.00021463750379004465
0.405,0.00021422240901328298
0.406,0.0002138063255817397
0.407,0.00021338926925152293
0.408,0.00021297125568746282
0.409,0.00021255230046339786
0.41,0.00021213241906246232
0.411,0.0002117116268773733
0.412,0.00021128993921071742
0.413,0.0002108673712752386
0.414,0.00021044393819412462
0.415,0.00021001965500129445
0.416,0.00020959453664168572
0.417,0.00020916859797154145
0.418,0.00020874185375869755
0.419,0.0002083143186828698
0.42,0.00020788600733594135
0.421,0.00020745693422224943
0.422,0.0002070271137588729
0.423,0.0002065965602759194
0.424,0.0002061652880168121
0.425,0.00020573331113857708
0.426,0.00020530064371213026
0.427,0.0002048672997225643
0.428,0.000204433293069436
0.429,0.0002039986375670525
0.43,0.00020356334694475862
0.431,0.0002031274348472237
0.432,0.00020269091483472767
0.433,0.00020225380038344865
0.434,0.0002018161048857487
0.435,0.00020137784165046065
0.436,0.00020093902390317452
0.437,0.00020049966478652377
0.438,0.00020005977736047147
0.439,0.00019961937460259696
0.44,0.00019917846940837957
0.441,0.00019873707459148812
0.442,0.0001982952028840642
0.443,0.0001978528669370084
0.444,0.00019741007932026598
0.445,0.00019696685252311224
0.446,0.00019652319895443774
0.447,0.00019607913094303307
0.448,0.0001956346607378745
0.449,0.00019518980050840852
0.45,0.0001947445623448363
0.451,0.00019429895825839844
0.452,0.0001938530001816593
0.453,0.0001934066999687912
0.454,0.00019296006939585817
0.455,0.00019251312016110045
0.456,0.00019206586388521716
0.457,0.00019161831211165093
0.458,0.00019117047630687017
0.459,0.00019072236786065263
0.46,0.00019027399808636835
0.461,0.0001898253782212621
0.462,0.0001893765194267362
0.463,0.00018892743278863244
0.464,0.0001884781293175141
0.465,0.0001880286199489483
0.466,0.00018757891554378717
0.467,0.00018712902688844887
0.468,0.0001866789646951997
0.469,0.00018622873960243437
0.47,0.00018577836217495674
0.471,0.00018532784290425998
0.472,0.00018487719220880742
0.473,0.0001844264204343117
0.474,0.00018397553785401522
0.475,0.00018352455466896854
0.476,0.00018307348100831045
0.477,0.00018262232692954627
0.478,0.0001821711024188266
0.479,0.00018171981739122537
0.48,0.00018126848169101848
0.481,0.0001808171050919607
0.482,0.00018036569729756372
0.483,0.000179914267941373
0.484,0.00017946282658724458
0.485,0.00017901138272962205
0.486,0.00017855994579381217
0.487,0.00017810852513626082
0.488,0.00017765713004482943
0.489,0.00017720576973906914
0.49,0.00017675445337049674
0.491,0.0001763031900228683
0.492,0.0001758519887124546
0.493,0.00017540085838831419
0.494,0.0001749498079325675
0.495,0.00017449884616066973
0.496,0.00017404798182168456
0.497,0.00017359722359855574
0.498,0.0001731465801083802
0.499,0.00017269605990267932
0.5,0.00017224567146767103
0.501,0.00017179542322454043
0.502,0.000171345323529711
0.503,0.0001708953806751148
0.504,0.0001704456028884626
0.505,0.00016999599833351364
0.506,0.0001695465751103449
0.507,0.00016909734125561982
0.508,0.0001686483047428572
0.509,0.0001681994734826992
0.51,0.00016775085532317878
0.511,0.0001673024580499874
0.512,0.0001668542893867421
0.513,0.00016640635699525158
0.514,0.0001659586684757828
0.515,0.00016551123136732636
0.516,0.00016506405314786206
0.517,0.0001646171412346239
0.518,0.00016417050298436403
0.519,0.00016372414569361746
0.52,0.00016327807659896528
0.521,0.00016283230287729805
0.522,0.00016238683164607843
0.523,0.00016194166996360394
0.524,0.00016149682482926821
0.525,0.00016105230318382276
0.526,0.00016060811190963848
0.527,0.00016016425783096526
0.528,0.0001597207477141928
0.529,0.00015927758826811037
0.53,0.00015883478614416537
0.531,0.00015839234793672266
0.532,0.00015795028018332274
0.533,0.00015750858936493944
0.534,0.00015706728190623747
0.535,0.00015662636417582907
0.536,0.00015618584248653064
0.537,0.00015574572309561872
0.538,0.00015530601220508535
0.539,0.00015486671596189316
0.54,0.0001544278404582298
0.541,0.0001539893917317618
0.542,0.0001535513757658885
0.543,0.00015311379848999496
0.544,0.00015267666577970442
0.545,0.00015223998345713024
0.546,0.00015180375729112778
0.547,0.00015136799299754524
0.548,0.0001509326962394743
0.549,0.00015049787262750032
0.55,0.0001500635277199514
0.551,0.00014962966702314811
0.552,0.00014919629599165131
0.553,0.00014876342002851083
0.554,0.0001483310444855124
0.555,0.00014789917466342487
0.556,0.0001474678158122468
0.557,0.00014703697313145223
0.558,0.00014660665177023598
0.559,0.00014617685682775862
0.56,0.000145747593353391
0.561,0.00014531886634695774
0.562,0.00014489068075898074
0.563,0.0001444630414909219
0.564,0.00014403595339542512
0.565,0.00014360942127655823
0.566,0.0001431834498900539
0.567,0.00014275804394355045
0.568,0.00014233320809683154
0.569,0.00014190894696206597
0.57,0.00014148526510404647
0.571,0.00014106216704042792
0.572,0.00014063965724196562
0.573,0.00014021774013275192
0.574,0.00013979642009045358
0.575,0.00013937570144654737
0.576,0.000138955588486556
0.577,0.0001385360854502831
0.578,0.00013811719653204755
0.579,0.00013769892588091722
0.58,0.00013728127760094278
0.581,0.00013686425575139006
0.582,0.0001364478643469723
0.583,0.00013603210735808167
0.584,0.0001356169887110206
0.585,0.00013520251228823206
0.586,0.00013478868192852905
0.587,0.00013437550142732468
0.588,0.00013396297453686012
0.589,0.00013355110496643326
0.59,0.000133139896382626
0.591,0.00013272935240953105
0.592,0.00013231947662897865
0.593,0.0001319102725807623
0.594,0.00013150174376286354
0.595,0.00013109389363167708
0.596,0.00013068672560223455
0.597,0.00013028024304842764
0.598,0.00012987444930323165
0.599,0.00012946934765892677
0.6,0.00012906494136732044
0.601,0.00012866123363996807
0.602,0.00012825822764839332
0.603,0.00012785592652430825
0.604,0.00012745433335983216
0.605,0.0001270534512077106
0.606,0.0001266532830815329
0.607,0.00012625383195594993
0.608,0.0001258551007668908
0.609,0.0001254570924117789
0.61,0.00012505980974974752
0.611,0.00012466325560185485
0.612,0.0001242674327512984
0.613,0.00012387234394362848
0.614,0.00012347799188696168
0.615,0.00012308437925219272
0.616,0.00012269150867320723
0.617,0.0001222993827470921
0.618,0.00012190800403434698
0.619,0.00012151737505909344
0.62,0.00012112749830928512
0.621,0.00012073837623691606
0.622,0.00012035001125822913
0.623,0.00011996240575392322
0.624,0.0001195755620693606
0.625,0.0001191894825147729
0.626,0.00011880416936546684
0.627,0.0001184196248620293
0.628,0.00011803585121053182
0.629,0.00011765285058273426
0.63,0.00011727062511628788
0.631,0.00011688917691493814
0.632,0.00011650850804872637
0.633,0.0001161286205541912
0.634,0.0001157495164345691
0.635,0.00011537119765999429
0.636,0.00011499366616769852
0.637,0.00011461692386220927
0.638,0.00011424097261554833
0.639,0.0001138658142674289
0.64,0.00011349145062545287
0.641,0.0001131178834653067
0.642,0.00011274511453095707
0.643,0.00011237314553484577
0.644,0.0001120019781580843
0.645,0.00011163161405064725
0.646,0.00011126205483156535
0.647,0.00011089330208911792
0.648,0.0001105253573810249
0.649,0.00011015822223463747
0.65,0.00010979189814712894
0.651,0.00010942638658568444
0.652,0.00010906168898769011
0.653,0.0001086978067609219
0.654,0.00010833474128373316
0.655,0.00010797249390524208
0.656,0.00010761106594551855
0.657,0.00010725045869576983
0.658,0.00010689067341852632
0.659,0.00010653171134782579
0.66,0.00010617357368939802
0.661,0.00010581626162084787
0.662,0.00010545977629183842
0.663,0.0001051041188242726
0.664,0.00010474929031247551
0.665,0.00010439529182337474
0.666,0.00010404212439668073
0.667,0.00010368978904506647
0.668,0.00010333828675434655
0.669,0.00010298761848365532
0.67,0.00010263778516562468
0.671,0.00010228878770656115
0.672,0.00010194062698662221
0.673,0.0001015933038599921
0.674,0.00010124681915505713
0.675,0.00010090117367457974
0.676,0.00010055636819587291
0.677,0.00010021240347097298
0.678,9.986928022681224e-05
0.679,9.952699916539109e-05
0.68,9.918556096394909e-05
0.681,9.884496627513582e-05
0.682,9.850521572718081e-05
0.683,9.816630992406273e-05
0.684,9.782824944567854e-05
0.685,9.749103484801112e-05
0.686,9.715466666329724e-05
0.687,9.681914540019371e-05
0.688,9.648447154394436e-05
0.689,9.615064555654487e-05
0.69,9.581766787690819e-05
0.691,9.548553892102842e-05
0.692,9.515425908214482e-05
0.693,9.482382873090458e-05
0.694,9.449424821552513e-05
0.695,9.416551786195597e-05
0.696,9.383763797403989e-05
0.697,9.351060883367327e-05
0.698,9.318443070096577e-05
0.699,9.28591038143998e-05
0.7,9.253462839098895e-05
